,shot,time,mods,nl_04,bt,ip,p_rf,ssep,zave,q95,numin,xmin,Lne,LTe,a,R
100,1120216011.0,0.7081,d,6.91602929378e+19,-5.5018901825,-1.102539375,-5.10054196639e-05,-40.0,2.34934151411,3.26383042336,0.289159093083,0.4087677286,0.318050519032,1.58303020035,0.22080767658,0.678957013802
101,1120210022.0,0.9655,u,5.9669510877e+19,-5.42577362061,-0.8052116875,-5.09337878611e-05,1.29055798054,4.14591827393,4.49821805954,0.477925571003,0.385905276207,0.732573228844,0.640984833111,0.215519940129,0.677007338898
102,1120210019.0,0.8607,u,5.61496530991e+19,-5.42674922943,-0.806470375,-5.09337878611e-05,1.23729455471,3.81687458038,4.53220510483,0.408419740049,0.397730470856,2.91987290521,0.616287923278,0.216050308119,0.676895627002
103,1110329009.0,1.2132,d,6.05583912613e+19,-5.32721185684,-1.056771,1.45867961692e-05,-0.990552484989,2.43967695236,3.17772364616,0.319347970583,0.433086171463,-0.277162231133,0.589856705082,0.220189167592,0.683137611744
104,1110329007.0,1.1521,d,6.2659566778e+19,-5.3164768219,-1.05737275,1.47554528667e-05,-0.875681638718,2.40137140155,3.22837972641,0.291996982006,0.472151819107,0.263836244514,0.658629663909,0.220611396753,0.682433454711
105,1110329006.0,1.3386,d,6.31424239064e+19,-5.31940507889,-1.0542495,1.47709506564e-05,-0.84971010685,2.25261980772,3.17887544632,0.286108455084,0.444704533775,-0.411072105822,0.661826304205,0.220908849629,0.682495589192
106,1110329005.0,0.623,u,5.60775295343e+19,-5.33160257339,-1.0483285,1.49057959788e-05,-1.1378993988,2.64886980057,3.15070223808,0.205165959952,0.468858462812,0.144978168625,0.691137422975,0.218676688487,0.682093447445
107,1110329005.0,1.2163,d,5.97693861152e+19,-5.3223323822,-1.05676175,1.49523766595e-05,-0.868271410465,2.29895681381,3.18215322495,0.239422322716,0.463303113338,-0.134404940436,0.673063058687,0.220708853167,0.683370565943
108,1110329004.0,1.0848,d,5.29085962856e+19,-5.02762317657,-0.754265625,1.49089901242e-05,1.32361400127,3.04887845039,4.48027038574,0.357107523065,0.402694627532,-0.0937846979763,1.82724979017,0.217099846576,0.678569520968
109,1110125012.0,0.9747,d,3.46913994534e+19,-7.06424045563,-0.7206605,0.000165655466844,1.180986166,3.05358423948,6.1760559082,0.185057920866,0.359359087024,33.4141458164,0.593726590897,0.220881943348,0.678958609462
110,1110125006.0,1.1093,d,5.0914662735e+19,-5.06763315201,-0.75435475,0.000166976693436,1.30855894089,2.55951191664,4.54288196564,0.401322962788,0.413055259011,0.726144336676,0.63490119202,0.216899769437,0.678987934824
111,1110125005.0,1.0114,d,4.75236721179e+19,-5.06860923767,-0.7559286875,0.000166944519151,1.31247198582,2.65131733656,4.55096912384,0.0425922295065,0.26814009843,0.00937816229523,1.08055463637,0.21759388592,0.678710297249
