shot,reversals,low_confidence,ar_signal,tmax,nl_04,nl_04_r,bt,bt_r,ip,ip_r,p_rf,p_rf_r,p_rf_t,ssep,ssep_r,vel,vel_r,lbo,cryopump
1120830024,,H-mode?,559.667236328,1.1834999323,6.99302765327E+019,3.23267022256E+019,6.1186327934,0.0068302155,0.9995530313,0.03006375,2.9567263126,0.9863097668,0.5819999576,-1.6119105816,0.2283878922,673.590820312,701.430380058,2,0
1120830023,,H-mode?,432.675628662,0.8434999585,8.01589540411E+019,3.85690224821E+019,6.1205844879,0.0087823868,1.0083323125,0.026627375,3.0079342127,1.9264784932,0.2421000004,-1.6271167398,0.2257996321,0.6170565486,33.0116042137,0,0
1120830022,,H-mode?,349.846923828,1.5,8.03650992771E+019,3.8332731276E+019,6.2123155594,0.0146379471,1.096835125,0.0338274813,3.8773442507,1.2738391161,0.5984999537,-1.6068739891,0.4176151156,-11.8262472153,791.791779327,0,0
1120830021,,H-mode?,393.509887695,1.5,8.29256771403E+019,3.66233033959E+019,6.1967020035,0.0292758942,1.100858875,0.031613,3.661688447,1.409034729,0.5984999537,-1.617020607,0.4232888222,-11.4250717163,42.1652738094,0,0
1120830020,,H-mode?,377.576477051,1.5,7.90645529433E+019,4.56784499338E+019,6.1147298813,0.0146379471,1.0036310625,0.0319486875,3.7162781954,2.496394515,0.5984999537,-1.5253851414,0.4259617925,-11.6276636124,54.0579301834,0,0
1120830019,,H-mode?,393.922363281,1.5,8.25487117777E+019,4.50272408626E+019,6.11277771,0.0146374702,1.0033005,0.0269426625,3.3548607826,2.2820901513,0.5985999703,-1.5591876507,0.4287237525,-2.1470495462,719.097089577,0,0
1120830018,,H-mode?,374.391479492,1.5,8.37125668259E+019,3.99400393748E+019,6.1137533188,0.0146379471,1.002998625,0.0235123125,2.9453010559,1.9790793657,0.5984999537,-1.6732932329,0.4047462344,-0.5485549271,35.5919345379,0,0
1120830017,,H-mode?,394.637390137,1.5,9.00210411786E+019,3.14433077447E+019,6.1166810989,0.0126857758,1.0017429688,0.0222495,2.6304469109,1.7480964363,0.5984999537,-1.7239437103,0.3211299181,11.7785205841,31.2126747847,0,0
1120830015,,H-mode?,286.319458008,1.5,9.24059346758E+019,4.14579140775E+019,4.3181743622,0.0165891647,1.0004723125,0.0334858531,2.6700333357,0.6976684332,0.7985000014,-1.6492137909,0.3679174781,-38.8512630463,718.182260513,3,0
1120830014,,H-mode,291.546051025,1.5,8.7384680576E+019,4.07634651722E+019,4.3181743622,0.0146374702,0.9989045,0.032550375,2.7514531612,1.9106762409,0.7985000014,-1.6518464088,0.3815242052,-31.4660921097,760.830493927,3,0
